year,quarter,state,category,total_count,total_amount
2018,2,delhi,Recharge & bill payments,13535211.0,6234550847.401905
2018,2,goa,Financial Services,5709.0,2200288.281849597
2018,2,goa,Merchant payments,37368.0,60488567.11835872
2018,2,goa,Others,19185.0,21663070.592002578
2018,2,goa,Peer-to-peer payments,263634.0,1258476697.5723114
2018,2,goa,Recharge & bill payments,362829.0,92982852.51132312
2018,2,gujarat,Financial Services,422112.0,115794789.68514092
2018,2,gujarat,Merchant payments,826509.0,1070953722.3616719
2018,2,gujarat,Others,608784.0,556623022.581774
2018,2,gujarat,Peer-to-peer payments,7449693.0,30029041591.16066
2018,2,gujarat,Recharge & bill payments,13930101.0,4715641189.13386
2018,2,haryana,Financial Services,502710.0,114437647.32541157
2018,2,haryana,Merchant payments,1109748.0,1002354784.3603234
2018,2,haryana,Others,510624.0,651984635.1530983
2018,2,haryana,Peer-to-peer payments,7166859.0,29237774429.55448
2018,2,haryana,Recharge & bill payments,9162852.0,2954691829.955943
2018,2,himachal-pradesh,Financial Services,33990.0,12326757.922673337
2018,2,himachal-pradesh,Merchant payments,83553.0,95883902.64829786
2018,2,himachal-pradesh,Others,58308.0,59045383.78634004
2018,2,himachal-pradesh,Peer-to-peer payments,730308.0,3131108892.4539213
2018,2,himachal-pradesh,Recharge & bill payments,1156926.0,251142967.242126
2018,2,india,Financial Services,20746276.0,4707965676.959984
2018,2,india,Merchant payments,42455764.0,36211439757.358635
2018,2,india,Others,19892796.0,20109816828.562313
2018,2,india,Peer-to-peer payments,298235264.0,1059070684381.2737
2018,2,india,Recharge & bill payments,368134860.0,97404902465.47592
2018,2,jammu-&-kashmir,Financial Services,337266.0,46908350.44158189
2018,2,jammu-&-kashmir,Merchant payments,237744.0,193362772.5757866
2018,2,jammu-&-kashmir,Others,114930.0,94175795.0788388
2018,2,jammu-&-kashmir,Peer-to-peer payments,2315532.0,7118885062.660852
2018,2,jammu-&-kashmir,Recharge & bill payments,2383506.0,500286728.7515627
2018,2,jharkhand,Financial Services,481911.0,196663644.7386395
2018,2,jharkhand,Merchant payments,391017.0,416667237.4837433
2018,2,jharkhand,Others,259365.0,307124601.2680508
2018,2,jharkhand,Peer-to-peer payments,4127616.0,12617587550.332474
2018,2,jharkhand,Recharge & bill payments,4196331.0,626683943.3656535
2018,2,karnataka,Financial Services,583089.0,279734212.83680016
2018,2,karnataka,Merchant payments,5623149.0,4085901614.7580433
